Nomor SPK,Tanggal SPK,Nama Kapal,Jumlah Jenis Item,Daftar Uraian Barang,Daftar Part Number,Daftar Qty & Satuan,Rincian Lengkap Barang
0994.SPK/BA.302/BA010102/2026,2026-07-01,Malahayati Baruna,1,"1. PUMP ASSY, INJECTION",1. OLD PN 746673-51104 NEW PN 746673-51108,1. 6 set,"1. PUMP ASSY, INJECTION [PN: OLD PN 746673-51104 NEW PN 746673-51108] (6 set)"
1005.SPK/BA.17/BA010102/2026,2026-07-02,Latifah Baruna,3,"1. UMEGUARD SX REDDISH
2. UMEGUARD SX GREY
3. UMEGUARD SX HARDWARE","1. -
2. -
3. INCLUDE NI 1&2","1. 540 kg
2. 540 kg
3. 0 kg","1. UMEGUARD SX REDDISH (540 kg)
2. UMEGUARD SX GREY (540 kg)
3. UMEGUARD SX HARDWARE [PN: INCLUDE NI 1&2] (0 kg)"
0991.SPK/BA.101/BA010102/2026,2026-07-01,Martha Baruna,2,"1. JASA ULTRASONIC THICKNES MEASUREMENT
2. REPORTING","1. -
2. -","1. 1 lot
2. 1 lot","1. JASA ULTRASONIC THICKNES MEASUREMENT (1 lot)
2. REPORTING (1 lot)"
0990.SPK/BA.17/BA010102/2026,2026-07-01,Rasuna Baruna,2,"1. CANVAS BRAKE LINNING
2. ACCESSORIES","1. -
2. -","1. 25 roll
2. 3 pcs","1. CANVAS BRAKE LINNING (25 roll)
2. ACCESSORIES (3 pcs)"
1000.SPK/PR.202/BA010102/2026,2026-07-01,Adhiguna Tarahan,2,"1. JASA RECASTING RUBBER SPIROFLEX
2. BIAYA TRANSPORTASI","1. -
2. -","1. 4 pcs
2. 1 lot","1. JASA RECASTING RUBBER SPIROFLEX (4 pcs)
2. BIAYA TRANSPORTASI (1 lot)"
0995.SPK/BA.302/BA010102/2026,2026-07-01,Kencana Baruna,3,"1. PISTON LP
2. PISTON HP
3. CYLINDER HEAD","1. 3382
2. 3398
3. 1255","1. 2 pcs
2. 2 pcs
3. 1 set","1. PISTON LP [PN: 3382] (2 pcs)
2. PISTON HP [PN: 3398] (2 pcs)
3. CYLINDER HEAD [PN: 1255] (1 set)"
1009.SPK/BA.302/BA010102/2026,2026-07-02,Martha Baruna,4,"1. CRANK SHAFT
2. OIL FILTER ELEMENT
3. BALANCE WEIGHT BOLT
4. BALANCE WEIGHT","1. -
2. FO-401
3. SCM435
4. FCD400","1. 2 pcs
2. 10 pcs
3. 8 pcs
4. 4 pcs","1. CRANK SHAFT (2 pcs)
2. OIL FILTER ELEMENT [PN: FO-401] (10 pcs)
3. BALANCE WEIGHT BOLT [PN: SCM435] (8 pcs)
4. BALANCE WEIGHT [PN: FCD400] (4 pcs)"
0996.SPK/BA.302/BA010102/2026,2026-07-01,Sartika Baruna,4,"1. PISTON RING SET
2. CYLINDER LINER
3. BOSCH PUMP UNIT
4. FUEL OIL INJECTION DEVICE","1. -
2. E265080020
3. E266480040
4. E26628","1. 5 set
2. 3 pcs
3. 1 set
4. 4 set","1. PISTON RING SET (5 set)
2. CYLINDER LINER [PN: E265080020] (3 pcs)
3. BOSCH PUMP UNIT [PN: E266480040] (1 set)
4. FUEL OIL INJECTION DEVICE [PN: E26628] (4 set)"
0992.SPK/BA.101/BA010102/2026,2026-07-01,Malahayati Baruna,15,"1. Overhaul, Bench Test and Calibration
2. Service of Speed Setting Device
3. Dismounting, Mounting, Transport & Commissioning
4. Dismounting, Mounting, Transport & Servicing
5. Kit RHD
6. PV Plunger Assy
7. Drive Shaft
8. Bushing Terminal Shaft
9. Floating Lever
10. Droop Bracket
11. Oil Gauge
12. - Servo Motor Kit
13. - Linkage Set
14. Bearing Driving Gear Device
15. DISKON","1. -
2. -
3. -
4. -
5. -
6. -
7. -
8. -
9. -
10. -
11. -
12. -
13. -
14. -
15. -","1. 3 Unit
2. 3 Unit
3. 3 Unit
4. 3 Unit
5. 3 Set
6. 3 Pc
7. 3 Pc
8. 6 Pc
9. 3 Pc
10. 3 Pc
11. 3 Pc
12. 3 Set
13. 3 Set
14. 6 Pc
15. 1 lot","1. Overhaul, Bench Test and Calibration (3 Unit)
2. Service of Speed Setting Device (3 Unit)
3. Dismounting, Mounting, Transport & Commissioning (3 Unit)
4. Dismounting, Mounting, Transport & Servicing (3 Unit)
5. Kit RHD (3 Set)
6. PV Plunger Assy (3 Pc)
7. Drive Shaft (3 Pc)
8. Bushing Terminal Shaft (6 Pc)
9. Floating Lever (3 Pc)
10. Droop Bracket (3 Pc)
11. Oil Gauge (3 Pc)
12. - Servo Motor Kit (3 Set)
13. - Linkage Set (3 Set)
14. Bearing Driving Gear Device (6 Pc)
15. DISKON (1 lot)"
1016.SPK/BA.202/BA010102/2026,2026-07-02,Jayanti Baruna,18,"1. BALL BEARING for cargo hold, ME Gearbox LO pump, Air CONDITIONING COMP RR
2. BALL BEARING for FO purifier, Daily bilge pp, Sludge ff pp, sewage ff pp, Hot water circ pp
3. BALL BEARING for ME LO Purifier, Daily bilge pp, sludge ff pp, sewage ff pp, ME FO circ pp, ME exh gas fan
4. BALL BEARING for sewage transfer pump, FO PURIFIER
5. BALL BEARING for FO Transfer pp, ME LO Purifier, FW hydrophone pp
6. BALL BEARING for Ballast Pp, Main Cooling SW pp, ME HT CW stand by pp, LT CW stand by pp
7. BALL BEARING for Aux cooling FW pump
8. BALL BEARING Emergency fire pump, ME LO stand by pump, Emergency fire pump
9. BALL BEARING for ME LO stand by pump
10. BALL BEARING for Fire, bilge & GS pp, Cargo chiller FW circulation pp, Chiller Unit Cooling SW pp
11. BALL BEARING for Cargo chiller FW circulation pp, Chiller Unit Cooling SW pp
12. BALL BEARING for Deck Water Spray pump
13. BALL BEARING for Galley exhaust fan
14. BALL BEARING for ME LO Purifier, Sewage discharge PP
15. BALL BEARING for VRC hydraulic pp
16. BEARING ELECTROMOTOR AC COMPRESSOR
17. BEARING ELECTROMOTOR AC COMPRESSOR
18. BEARING ELECTROMOTOR FOR BLOWER FAN","1. 6312 (NTN/FAG)
2. 6204 ZZ C3 (NTN/FAG)
3. 6205 ZZ C3 (NTN/FAG)
4. 6305 ZZ C3 (NTN/FAG)
5. 6306 ZZ C3 (NTN/FAG)
6. 6309ZZ C3 (NTN/FAG)
7. 6311 ZZ C3 (NTN/FAG)
8. 6312 ZZ C3 (NTN/FAG)
9. 6313 ZZ C3 (NTN/FAG)
10. 6314 C3 (NTN/FAG)
11. 6315 C3 (NTN/FAG)
12. 6316 C3 (NTN/FAG)
13. 6205-2RSH (SKF)
14. 6205-ZZ (NTN/FAG)
15. 6206-DDU/C3 (NTN/FAG)
16. 6312-/C3 (NTN/FAG)
17. 6313-/C3 (NTN/FAG)
18. 6309 (NTN/FAG)","1. 5 PCS
2. 6 PCS
3. 12 PCS
4. 2 PCS
5. 10 PCS
6. 14 PCS
7. 4 PCS
8. 4 PCS
9. 2 PCS
10. 8 PCS
11. 4 PCS
12. 4 PCS
13. 2 PCS
14. 2 PCS
15. 4 PCS
16. 2 PCS
17. 2 PCS
18. 4 PCS","1. BALL BEARING for cargo hold, ME Gearbox LO pump, Air CONDITIONING COMP RR [PN: 6312 (NTN/FAG)] (5 PCS)
2. BALL BEARING for FO purifier, Daily bilge pp, Sludge ff pp, sewage ff pp, Hot water circ pp [PN: 6204 ZZ C3 (NTN/FAG)] (6 PCS)
3. BALL BEARING for ME LO Purifier, Daily bilge pp, sludge ff pp, sewage ff pp, ME FO circ pp, ME exh gas fan [PN: 6205 ZZ C3 (NTN/FAG)] (12 PCS)
4. BALL BEARING for sewage transfer pump, FO PURIFIER [PN: 6305 ZZ C3 (NTN/FAG)] (2 PCS)
5. BALL BEARING for FO Transfer pp, ME LO Purifier, FW hydrophone pp [PN: 6306 ZZ C3 (NTN/FAG)] (10 PCS)
6. BALL BEARING for Ballast Pp, Main Cooling SW pp, ME HT CW stand by pp, LT CW stand by pp [PN: 6309ZZ C3 (NTN/FAG)] (14 PCS)
7. BALL BEARING for Aux cooling FW pump [PN: 6311 ZZ C3 (NTN/FAG)] (4 PCS)
8. BALL BEARING Emergency fire pump, ME LO stand by pump, Emergency fire pump [PN: 6312 ZZ C3 (NTN/FAG)] (4 PCS)
9. BALL BEARING for ME LO stand by pump [PN: 6313 ZZ C3 (NTN/FAG)] (2 PCS)
10. BALL BEARING for Fire, bilge & GS pp, Cargo chiller FW circulation pp, Chiller Unit Cooling SW pp [PN: 6314 C3 (NTN/FAG)] (8 PCS)
11. BALL BEARING for Cargo chiller FW circulation pp, Chiller Unit Cooling SW pp [PN: 6315 C3 (NTN/FAG)] (4 PCS)
12. BALL BEARING for Deck Water Spray pump [PN: 6316 C3 (NTN/FAG)] (4 PCS)
13. BALL BEARING for Galley exhaust fan [PN: 6205-2RSH (SKF)] (2 PCS)
14. BALL BEARING for ME LO Purifier, Sewage discharge PP [PN: 6205-ZZ (NTN/FAG)] (2 PCS)
15. BALL BEARING for VRC hydraulic pp [PN: 6206-DDU/C3 (NTN/FAG)] (4 PCS)
16. BEARING ELECTROMOTOR AC COMPRESSOR [PN: 6312-/C3 (NTN/FAG)] (2 PCS)
17. BEARING ELECTROMOTOR AC COMPRESSOR [PN: 6313-/C3 (NTN/FAG)] (2 PCS)
18. BEARING ELECTROMOTOR FOR BLOWER FAN [PN: 6309 (NTN/FAG)] (4 PCS)"
1004.SPK/BA.302/BA010102/2026,2026-07-02,Meutia Baruna,7,"1. O-RING
2. O-RING
3. Crank Pin Metal Bearing
4. Connecting Rod
5. Oil Pump
6. Cylinder Liner 1St Stage
7. Cylinder Liner 2Nd Stage","1. 3803-6741-00
2. 3803-6423-00
3. 1710-4103-00
4. 1710-4100-00
5. 1380-6132-01
6. 1710-3102-00
7. 1710-3102-00","1. 4 pcs
2. 4 pcs
3. 2 set
4. 1 set
5. 1 pcs
6. 1 set
7. 1 set","1. O-RING [PN: 3803-6741-00] (4 pcs)
2. O-RING [PN: 3803-6423-00] (4 pcs)
3. Crank Pin Metal Bearing [PN: 1710-4103-00] (2 set)
4. Connecting Rod [PN: 1710-4100-00] (1 set)
5. Oil Pump [PN: 1380-6132-01] (1 pcs)
6. Cylinder Liner 1St Stage [PN: 1710-3102-00] (1 set)
7. Cylinder Liner 2Nd Stage [PN: 1710-3102-00] (1 set)"
0993.SPK/BA.101/BA010102/2026,2026-07-01,Latifah Baruna,36,"1. DELIVERY VALVE H.P. COMPLETE
2. SUCTION VALVE L.P. COMPLETE
3. SUCTION VALVE H.P. COMPLETE
4. DELIVERY VALVE L.P. COMPLETE
5. OIL RING H.P
6. OIL RING L.P
7. PISTON H.P.
8. COMPRESSION RING H.P.
9. COMPRESSION/OIL RING L.P.
10. COMPRESSION RING L.P.
11. OIL FILTER
12. AIR FILTER INSERT
13. GASKET COVER
14. VALVE GASKET
15. VALVE GASKET
16. SWIVEL NIPPLE
17. SEPARATOR (SPARATOR)
18. CRANKSHAFT BEARING BUSHES, PAIR
19. FRAME BEARING, END
20. FRAME BEARING CENTRE
21. GASKET - LP VALVE COVER
22. GASKET - HP VALVE COVER
23. MANOMETER, LP AIR
24. MANOMETER, HP AIR
25. MONOMETER COOLING WATER OIL
26. COMPRESSION RING, STEPPED, H.P.
27. COMPRESSION RING, STEPPED, L.P.
28. COMPRESSION RING, PLAIN H.P.
29. OIL RING H.P.
30. OIL RING L.P.
31. VALVE L.P.
32. VALVE H.P.
33. NEEDLE BEARING
34. VALVE SEALING RING
35. GASKET
36. GASKET","1. 3012
2. 3020
3. 3049
4. 3021
5. 3533
6. 3543
7. 3398
8. 3505
9. 3485
10. 3518
11. 3722
12. 3718
13. 3995
14. 3909
15. 3906
16. 7665
17. 7595
18. 3832
19. 3921
20. 3922
21. 4058
22. 4057
23. 3771
24. 3773
25. 3770
26. 3487
27. 3488
28. 3501
29. 3528
30. 3529
31. 3036
32. 3037
33. 3878
34. 3919
35. 4095
36. 4096","1. 6 pcs
2. 4 pcs
3. 6 pcs
4. 4 pcs
5. 4 pcs
6. 6 pcs
7. 3 pcs
8. 8 pcs
9. 4 pcs
10. 8 pcs
11. 6 pcs
12. 6 pcs
13. 4 pcs
14. 10 pcs
15. 15 pcs
16. 4 pcs
17. 1 pcs
18. 2 set
19. 2 set
20. 1 set
21. 10 pcs
22. 10 pcs
23. 2 pcs
24. 2 pcs
25. 2 pcs
26. 4 pcs
27. 4 pcs
28. 3 pcs
29. 3 pcs
30. 4 pcs
31. 2 pcs
32. 2 pcs
33. 4 pcs
34. 6 pcs
35. 3 pcs
36. 3 pcs","1. DELIVERY VALVE H.P. COMPLETE [PN: 3012] (6 pcs)
2. SUCTION VALVE L.P. COMPLETE [PN: 3020] (4 pcs)
3. SUCTION VALVE H.P. COMPLETE [PN: 3049] (6 pcs)
4. DELIVERY VALVE L.P. COMPLETE [PN: 3021] (4 pcs)
5. OIL RING H.P [PN: 3533] (4 pcs)
6. OIL RING L.P [PN: 3543] (6 pcs)
7. PISTON H.P. [PN: 3398] (3 pcs)
8. COMPRESSION RING H.P. [PN: 3505] (8 pcs)
9. COMPRESSION/OIL RING L.P. [PN: 3485] (4 pcs)
10. COMPRESSION RING L.P. [PN: 3518] (8 pcs)
11. OIL FILTER [PN: 3722] (6 pcs)
12. AIR FILTER INSERT [PN: 3718] (6 pcs)
13. GASKET COVER [PN: 3995] (4 pcs)
14. VALVE GASKET [PN: 3909] (10 pcs)
15. VALVE GASKET [PN: 3906] (15 pcs)
16. SWIVEL NIPPLE [PN: 7665] (4 pcs)
17. SEPARATOR (SPARATOR) [PN: 7595] (1 pcs)
18. CRANKSHAFT BEARING BUSHES, PAIR [PN: 3832] (2 set)
19. FRAME BEARING, END [PN: 3921] (2 set)
20. FRAME BEARING CENTRE [PN: 3922] (1 set)
21. GASKET - LP VALVE COVER [PN: 4058] (10 pcs)
22. GASKET - HP VALVE COVER [PN: 4057] (10 pcs)
23. MANOMETER, LP AIR [PN: 3771] (2 pcs)
24. MANOMETER, HP AIR [PN: 3773] (2 pcs)
25. MONOMETER COOLING WATER OIL [PN: 3770] (2 pcs)
26. COMPRESSION RING, STEPPED, H.P. [PN: 3487] (4 pcs)
27. COMPRESSION RING, STEPPED, L.P. [PN: 3488] (4 pcs)
28. COMPRESSION RING, PLAIN H.P. [PN: 3501] (3 pcs)
29. OIL RING H.P. [PN: 3528] (3 pcs)
30. OIL RING L.P. [PN: 3529] (4 pcs)
31. VALVE L.P. [PN: 3036] (2 pcs)
32. VALVE H.P. [PN: 3037] (2 pcs)
33. NEEDLE BEARING [PN: 3878] (4 pcs)
34. VALVE SEALING RING [PN: 3919] (6 pcs)
35. GASKET [PN: 4095] (3 pcs)
36. GASKET [PN: 4096] (3 pcs)"
0989.SPK/BA.202/BA010102/2026,2026-07-01,Rasuna Baruna,83,"1. RINSO
2. SABUN COLEK
3. GEMBOK 50 MM
4. KACAMATA CIPPING
5. PILOX PUTIH
6. VIBRATION SINGLE HEAD SCALING HAMMERS
7. SPARE HEAD FOR TRELAWNY SCAILING HAMMER
8. FLUSH VALVES
9. TALI NILON ROPE 20MM
10. SARUNG TANGAN NON SLIP DOT
11. PLASTIK SAMPAH
12. LEATHER PALM WORKING GLOVES
13. BOR TANGAN PLASTIC MERK MAKITA
14. SPLIT PINS (D: 3MM, P : 40MM)
15. SPLIT PINS (D :4MM, P : 50MM)
16. SPLIT PINS (D : 5MM, P : 70MM)
17. FLEXIBLE EXTENSION HOSE FOR PIN TYPE GRADE NIPPLE SPX-1C BAHAN S.S
18. SPARE WHEELS FOR PLATFROM TRUCK ( RODA GEROBAK )
19. SPARE WHEELS FOR PLATFROM TRUCK ( RODA GEROBAK )
20. KARET BAN BEKAS
21. PILOX MERAH
22. EAR PLUG
23. CLAMP 3 INCH
24. CLAMP 2.5 INCH
25. CLAMP 1 INCH
26. SOUNDINGAN BALLAST S/S
27. KRAN AIR 1,5 INC
28. CHAIN DRUM FOR SCAILING MACHINE RUSTIBUS 400
29. SENTER KEPALA
30. JAS HUJAN
31. MINI PAINT ROLLER COMPLETE 100MM
32. SPARE MINI PAINT ROLLER 100MM (PINEHILL)
33. CUTTING WHEEL NIPPON RESIBON
34. MATA BOR ( BAJA ) SET
35. RUBBER BOOT SIZE 39,40,42,43
36. PILOX ORANGE
37. SCUPPER PLUGS
38. SAPU PLASTIK
39. WIRE CUP BRUSHES
40. CUTTING FOR STAINLESS STEEL IRONHAND SEEL
41. PEL LANTAI
42. CUTTER WHEEL, HD TOOL GEAR 100
43. DISC PIN,HD TOOL GEAR 100 EA
44. DISC, HD TOOL GEAR 100 EA
45. PASTA SOUNDINGAN WATER
46. GERINDA ELECTRICT MEREK MAKITA
47. SAFETY HARNESS FULL BODY
48. GREASE NIPPLES TYPE STRAIGHT
49. GREASE NIPPLES TYPE PIN
50. GREASE NIPPLES TYPE BUTTON HEAD
51. FLEXIBLE EXTENSION HOSE FOR BUTTON HEAD
52. FLEXIBLE EXTENSION HOPE FOR HYDRAULIC OR STRAIGHT TYPE GREASE NIPPLE SPK - 3C
53. SODA API
54. ACCOSSORIES CONTROL VAVLE ( FOR MODEL SKR AND SKR )
55. HAND GREASE GUN
56. KAIN BUFF
57. BAUT KUNCI 17 (M10 X P : 70)
58. TALI NYLON 10 MM ( 3 STRAND )
59. TALI PP PLASTIK 10MM ( 3 STRAND )
60. TALI PP STRAND NYLON ROPE 18MM
61. LUBRIACATION HOSE ( FOR MODEL SKR AND SGR SERIES )
62. BAUT KUNCI 19 (M12 X P : 70MM )
63. WD
64. BATU GURINDA POLES ( 100X6X16 )
65. CLOTH SEALING TAPE 50MM BLACK
66. CLOTH SEALING TAPE 50MM RED
67. CLOTH SEALING TAPE 50MM BLUE
68. CLOTHS SEALING TAPE 50MM YELLOW
69. PAPER MASKING TAPE 50MM
70. PAPER MASKING TAPE 24MM
71. BATRAI AAA
72. BATRAI AA
73. BATRAI A
74. DISC CUTTING GRINDA 4"" FOR STANLESS STEEL (MRKR WD) 105X1.2X16MM
75. MINI PAINT ROLLER COMPLETE 1 HANDLE 100MM
76. COUNTERSUNK BRASS SCREW M8X40MM
77. PAKU 1.5CM
78. PAKU 2.5CM
79. PAKU 5CM
80. PAKU 7 CM
81. SUPER PEL
82. SPARE MINI ROLLER COMPLETE 1 HANDLE 100 MM
83. SAWDUST HALUS","1. -
2. -
3. -
4. -
5. -
6. -
7. -
8. -
9. -
10. -
11. -
12. -
13. -
14. -
15. -
16. -
17. -
18. -
19. -
20. -
21. -
22. -
23. -
24. -
25. -
26. -
27. -
28. -
29. -
30. -
31. -
32. -
33. -
34. -
35. -
36. -
37. -
38. -
39. -
40. -
41. -
42. -
43. -
44. -
45. -
46. -
47. -
48. -
49. -
50. -
51. -
52. -
53. -
54. -
55. -
56. -
57. -
58. -
59. -
60. -
61. -
62. -
63. -
64. -
65. -
66. -
67. -
68. -
69. -
70. -
71. -
72. -
73. -
74. -
75. -
76. -
77. -
78. -
79. -
80. -
81. -
82. -
83. -","1. 60 pack
2. 10 pack
3. 20 pcs
4. 40 pcs
5. 20 pcs
6. 2 pcs
7. 25 pcs
8. 30 pcs
9. 1 roll
10. 250 lusin
11. 20 lusin
12. 25 lusin
13. 1 pcs
14. 50 pcs
15. 50 pcs
16. 50 pcs
17. 30 pcs
18. 2 pcs
19. 4 pcs
20. 20 pcs
21. 10 pcs
22. 50 pcs
23. 25 pcs
24. 30 pcs
25. 30 pcs
26. 2 pcs
27. 5 pcs
28. 30 pcs
29. 5 pcs
30. 25 pcs
31. 50 pcs
32. 300 pcs
33. 24 pcs
34. 1 set
35. 5 pcs
36. 20 pcs
37. 12 pcs
38. 20 pcs
39. 100 pcs
40. 10 box
41. 20 pcs
42. 500 pcs
43. 150 pcs
44. 20 pcs
45. 3 pcs
46. 2 pcs
47. 2 pcs
48. 50 pcs
49. 50 pcs
50. 50 pcs
51. 10 pcs
52. 15 pcs
53. 10 kg
54. 2 pcs
55. 3 pcs
56. 10 lusin
57. 2 pack
58. 2 roll
59. 1 roll
60. 1 roll
61. 1 roll
62. 2 pack
63. 10 pack
64. 100 pcs
65. 15 pcs
66. 15 pcs
67. 15 pcs
68. 15 pcs
69. 20 pcs
70. 20 pcs
71. 300 pcs
72. 100 pcs
73. 150 pcs
74. 10 pack
75. 50 pcs
76. 800 pcs
77. 2 kg
78. 4 kg
79. 4 kg
80. 4 kg
81. 5 kg
82. 250 pcs
83. 10 box","1. RINSO (60 pack)
2. SABUN COLEK (10 pack)
3. GEMBOK 50 MM (20 pcs)
4. KACAMATA CIPPING (40 pcs)
5. PILOX PUTIH (20 pcs)
6. VIBRATION SINGLE HEAD SCALING HAMMERS (2 pcs)
7. SPARE HEAD FOR TRELAWNY SCAILING HAMMER (25 pcs)
8. FLUSH VALVES (30 pcs)
9. TALI NILON ROPE 20MM (1 roll)
10. SARUNG TANGAN NON SLIP DOT (250 lusin)
11. PLASTIK SAMPAH (20 lusin)
12. LEATHER PALM WORKING GLOVES (25 lusin)
13. BOR TANGAN PLASTIC MERK MAKITA (1 pcs)
14. SPLIT PINS (D: 3MM, P : 40MM) (50 pcs)
15. SPLIT PINS (D :4MM, P : 50MM) (50 pcs)
16. SPLIT PINS (D : 5MM, P : 70MM) (50 pcs)
17. FLEXIBLE EXTENSION HOSE FOR PIN TYPE GRADE NIPPLE SPX-1C BAHAN S.S (30 pcs)
18. SPARE WHEELS FOR PLATFROM TRUCK ( RODA GEROBAK ) (2 pcs)
19. SPARE WHEELS FOR PLATFROM TRUCK ( RODA GEROBAK ) (4 pcs)
20. KARET BAN BEKAS (20 pcs)
21. PILOX MERAH (10 pcs)
22. EAR PLUG (50 pcs)
23. CLAMP 3 INCH (25 pcs)
24. CLAMP 2.5 INCH (30 pcs)
25. CLAMP 1 INCH (30 pcs)
26. SOUNDINGAN BALLAST S/S (2 pcs)
27. KRAN AIR 1,5 INC (5 pcs)
28. CHAIN DRUM FOR SCAILING MACHINE RUSTIBUS 400 (30 pcs)
29. SENTER KEPALA (5 pcs)
30. JAS HUJAN (25 pcs)
31. MINI PAINT ROLLER COMPLETE 100MM (50 pcs)
32. SPARE MINI PAINT ROLLER 100MM (PINEHILL) (300 pcs)
33. CUTTING WHEEL NIPPON RESIBON (24 pcs)
34. MATA BOR ( BAJA ) SET (1 set)
35. RUBBER BOOT SIZE 39,40,42,43 (5 pcs)
36. PILOX ORANGE (20 pcs)
37. SCUPPER PLUGS (12 pcs)
38. SAPU PLASTIK (20 pcs)
39. WIRE CUP BRUSHES (100 pcs)
40. CUTTING FOR STAINLESS STEEL IRONHAND SEEL (10 box)
41. PEL LANTAI (20 pcs)
42. CUTTER WHEEL, HD TOOL GEAR 100 (500 pcs)
43. DISC PIN,HD TOOL GEAR 100 EA (150 pcs)
44. DISC, HD TOOL GEAR 100 EA (20 pcs)
45. PASTA SOUNDINGAN WATER (3 pcs)
46. GERINDA ELECTRICT MEREK MAKITA (2 pcs)
47. SAFETY HARNESS FULL BODY (2 pcs)
48. GREASE NIPPLES TYPE STRAIGHT (50 pcs)
49. GREASE NIPPLES TYPE PIN (50 pcs)
50. GREASE NIPPLES TYPE BUTTON HEAD (50 pcs)
51. FLEXIBLE EXTENSION HOSE FOR BUTTON HEAD (10 pcs)
52. FLEXIBLE EXTENSION HOPE FOR HYDRAULIC OR STRAIGHT TYPE GREASE NIPPLE SPK - 3C (15 pcs)
53. SODA API (10 kg)
54. ACCOSSORIES CONTROL VAVLE ( FOR MODEL SKR AND SKR ) (2 pcs)
55. HAND GREASE GUN (3 pcs)
56. KAIN BUFF (10 lusin)
57. BAUT KUNCI 17 (M10 X P : 70) (2 pack)
58. TALI NYLON 10 MM ( 3 STRAND ) (2 roll)
59. TALI PP PLASTIK 10MM ( 3 STRAND ) (1 roll)
60. TALI PP STRAND NYLON ROPE 18MM (1 roll)
61. LUBRIACATION HOSE ( FOR MODEL SKR AND SGR SERIES ) (1 roll)
62. BAUT KUNCI 19 (M12 X P : 70MM ) (2 pack)
63. WD (10 pack)
64. BATU GURINDA POLES ( 100X6X16 ) (100 pcs)
65. CLOTH SEALING TAPE 50MM BLACK (15 pcs)
66. CLOTH SEALING TAPE 50MM RED (15 pcs)
67. CLOTH SEALING TAPE 50MM BLUE (15 pcs)
68. CLOTHS SEALING TAPE 50MM YELLOW (15 pcs)
69. PAPER MASKING TAPE 50MM (20 pcs)
70. PAPER MASKING TAPE 24MM (20 pcs)
71. BATRAI AAA (300 pcs)
72. BATRAI AA (100 pcs)
73. BATRAI A (150 pcs)
74. DISC CUTTING GRINDA 4"" FOR STANLESS STEEL (MRKR WD) 105X1.2X16MM (10 pack)
75. MINI PAINT ROLLER COMPLETE 1 HANDLE 100MM (50 pcs)
76. COUNTERSUNK BRASS SCREW M8X40MM (800 pcs)
77. PAKU 1.5CM (2 kg)
78. PAKU 2.5CM (4 kg)
79. PAKU 5CM (4 kg)
80. PAKU 7 CM (4 kg)
81. SUPER PEL (5 kg)
82. SPARE MINI ROLLER COMPLETE 1 HANDLE 100 MM (250 pcs)
83. SAWDUST HALUS (10 box)"
1026.SPK/BA.302/BA010102/2026,2026-07-03,Jayanti Baruna,1,1. FUEL SEPARATOR FILTER ORIGINAL ELEMNT,1. 1830,1. 24 pcs,1. FUEL SEPARATOR FILTER ORIGINAL ELEMNT [PN: 1830] (24 pcs)
